Agency Name:,County of Court,Warrant Number,Submitted,Nature of the investigation,Primary Nature,Crime of Violence Options,Secondary Nature,Order Served on,Business Name,Items to be searched for:,Start Date for Info,End Date for Info,Grounds for Issuance,Reasons for Delay (if any),Emergency?,Facts giving rise to the emergency,fn,Submitted Year
Los Angeles Police Department,Los Angeles, ,2020-01-28 14:29:00,Academia.edu user also created a google email account where he/she uploaded images depicting child pornography.,Child Exploitation, , ,Business,Academia.edu,"Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-04-01 00:00:00,2019-10-17 00:00:00,"tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2020
DEA/NTF,San Diego,62381,2020-03-18 15:25:00,Narcotic trafficking,Narcotics, , ,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2014-12-01 00:00:00,2019-09-27 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2020
Orange County District Attorney's Office,Orange, ,2020-07-27 15:51:00,ID theft fraud ring ,"Computer Crime Fraud
Theft/Fraud
", ,ID Theft,Business,Google and 14 others,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2018-06-06 00:00:00,2020-07-27 00:00:00,"was stolen or embezzled
was used as the means of committing a felony
", ,No, ,electronic-search-warrant-notifications.csv,2020
Placer County Sheriff's Office,Placer,63-20569,2020-03-10 10:52:00,Kidnapping with the intent to commit a robbery investigation,Crime of Violence,Robbery, ,Business,Google LLC,Location information,2019-09-27 00:00:00,2019-09-27 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2020
UC Irvine Police Department,Orange, ,2020-06-10 14:31:00,"UCIPD received 3 separate reports of ""Zoombombing"" where the suspect exposed his genitals and masturbated to a class via webcam video. The same IP Address was used for all 3 reports. Gmail e-mail addresses were also located.",Indecent Exposure, , ,Business,Comcast Cable Communications and Google LLC,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Communications (email, text, voice mail, or other communication)
",2020-04-01 00:00:00,2020-05-31 00:00:00,"a provider of electronic communication service or remote computing service has records of evidence, as specified in Penal Code S","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2020
UC Irvine Police Department,Orange, ,2020-08-13 08:20:00,Unknown suspect(s) falsely impersonating UC Irvine student conduct officials in an attempt to extort money from students via e-mail.,Computer Crime Fraud, , ,Business,Google LLC,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Communications (email, text, voice mail, or other communication)
",2019-03-27 00:00:00,2020-07-31 00:00:00,is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,electronic-search-warrant-notifications.csv,2020
Oxnard Police Department,Ventura, ,2020-02-27 16:29:00,Homicide,Homicide, , ,Business,Google Inc.,Location information,2017-10-08 00:00:00,2017-10-08 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2020
Oxnard Police Department,Ventura, ,2020-04-22 16:34:00,Shooting,Crime of Violence,Assault, ,Business,Google Inc.,Location information,2020-01-23 00:00:00,2020-01-23 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,electronic-search-warrant-notifications.csv,2020
Orange County Sheriff's Department,Orange,20-11037,2020-01-07 13:52:00,Records related to the suspect of a robbery investigation.,Crime of Violence,Robbery, ,Business,Verizon and Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2019-02-28 00:00:00,2019-03-02 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
",No, ,electronic-search-warrant-notifications.csv,2020
Orange County Sheriff's Department,Orange, ,2020-12-25 16:57:00,Commercial burglary,Theft/Fraud, , ,Business,Google,Location information,2020-12-02 00:00:00,2020-12-03 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,electronic-search-warrant-notifications.csv,2020
Sacramento County Sheriff's Dept,Sacramento,20SW00215,2020-01-27 17:18:00,The search warrant was ordered sealed by the court,Homicide, , ,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-04-13 00:00:00,2019-07-07 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2020
Orange County District Attorneys Office,Orange, ,2020-12-22 11:33:00,EDD fraud committed by CDCR inmates,Theft/Fraud, , ,Business,"Google, LLC","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-03-01 00:00:00,2020-12-22 00:00:00,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2020
